Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016<R>,2017<P>
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Hidalgo<C1>,1.390864855607,1.373007515591,1.360024676952,1.365223279454,1.353488631625,1.380845196449,1.364582817697,1.399990899062,1.418888406873,1.413089417576,1.453891264784,1.458083318815,1.46578055446,1.481729797118,1.483053542726
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Jalisco<C1>,6.570823793436,6.564765133296,6.543129265266,6.524559362374,6.514866446968,6.542313949836,6.554931748929,6.550244505031,6.532141657445,6.537920874616,6.539533232865,6.53791350496,6.484763814054,6.647841953537,6.596933026172
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|México<C1>,9.265781107455,9.170288075476,9.235636376604,9.341885698896,9.386524961956,9.382196246469,9.425618677603,9.495821199265,9.57625831562,9.689098960362,9.680224824573,9.892862511758,9.768330172767,9.786214387418,9.860215488396
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Michoacán de Ocampo<C1>,2.646704396702,2.594223111569,2.59672911402,2.578064478407,2.529422794154,2.523047860693,2.59959407888,2.562321496287,2.546837371579,2.532218294147,2.528650316724,2.594912309342,2.592042443249,2.591172404275,2.61029009712
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Morelos<C1>,1.328291595408,1.311452224288,1.305858020214,1.288568892962,1.248728351304,1.216264521009,1.204021840269,1.18642074195,1.186046389851,1.187789803733,1.209403130829,1.181327038305,1.182450798717,1.172643022422,1.165080571122
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Nayarit<C1>,0.758463345136,0.755290110767,0.761972876284,0.76438363944,0.734397606529,0.759333886238,0.772207066996,0.783301274382,0.771513759226,0.737531279437,0.751053828136,0.758324194131,0.782740365297,0.78380745612,0.79269033406
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Nuevo León<C1>,6.557487068477,6.649221361391,6.677608879136,6.816516253222,6.999561294114,7.042220910444,6.888582839253,6.9782300479,7.070670567942,7.150655109432,7.14611424177,7.195563619437,7.146161240787,7.152071756417,7.217577747
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Oaxaca<C1>,1.815272491638,1.823851507729,1.845494330196,1.80052146673,1.768120020198,1.757038105937,1.772883781286,1.734433746164,1.703347572655,1.663949048462,1.63810324904,1.621962216027,1.632824857029,1.581844622507,1.549725725502
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Puebla<C1>,3.313798864166,3.289747127518,3.260651450726,3.245962681721,3.256436254939,3.213691314139,3.21479091972,3.243370638209,3.251084923626,3.243384456536,3.260663198694,3.217572834102,3.166760792068,3.132759993152,3.130026492525
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Querétaro<C1>,1.635824151937,1.682552394937,1.754334040543,1.81066611035,1.867189565148,1.915018394737,1.942499661923,1.928353415349,1.982586051889,1.949673527248,1.93519568291,1.982278981248,2.037133402394,2.031710733805,2.007605976637
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Quintana Roo<C1>,1.65960560988,1.726441262086,1.703843931939,1.725295027916,1.893088625925,1.950334984817,1.859695892982,1.899498997675,1.924344308878,1.954138101761,1.988816641942,1.994029659262,2.037174594013,2.063663279019,2.13091789531
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|San Luis Potosí<C1>,1.842341554094,1.854836646722,1.864715683078,1.868623695984,1.872196645091,1.851976450809,1.832135050226,1.823823339296,1.828410027768,1.800716158033,1.801551422877,1.790561291785,1.802473775659,1.802718825541,1.801818268822
